"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"JU310"	"I"	12629000	13000	12642000
"2"	"JU310"	"I"	12754000	9000	12763000
"3"	"JU310"	"II"	2239000	158000	2397000
"4"	"JU310"	"II"	2425000	9000	2434000
"5"	"JU310"	"II"	2835000	10000	2845000
"6"	"JU310"	"II"	3194000	56000	3250000
"7"	"JU310"	"II"	3309000	61000	3370000
"8"	"JU310"	"II"	3672000	22000	3694000
"9"	"JU310"	"II"	3720000	19000	3739000
"10"	"JU310"	"II"	3745000	15000	3760000
"11"	"JU310"	"II"	12517000	9000	12526000
"12"	"JU310"	"III"	697000	10000	707000
"13"	"JU310"	"III"	946000	42000	988000
"14"	"JU310"	"III"	1400000	17000	1417000
"15"	"JU310"	"III"	12351000	20000	12371000
"16"	"JU310"	"V"	682000	38000	720000
"17"	"JU310"	"V"	1048000	15000	1063000
"18"	"JU310"	"V"	2047000	19000	2066000
"19"	"JU310"	"V"	2592000	47000	2639000
"20"	"JU310"	"V"	18748000	17000	18765000
"21"	"JU310"	"V"	18826000	22000	18848000
"22"	"JU310"	"V"	19344000	144000	19488000
"23"	"JU310"	"V"	20074000	11000	20085000
"24"	"JU310"	"V"	20201000	34000	20235000
"25"	"JU310"	"X"	14215000	10000	14225000
