"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"CB4856"	"I"	1101000	26000	1127000
"2"	"CB4856"	"I"	1206000	12000	1218000
"3"	"CB4856"	"I"	1513000	14000	1527000
"4"	"CB4856"	"I"	1901000	11000	1912000
"5"	"CB4856"	"I"	2157000	13000	2170000
"6"	"CB4856"	"I"	2329000	32000	2361000
"7"	"CB4856"	"I"	2799000	10000	2809000
"8"	"CB4856"	"I"	3184000	11000	3195000
"9"	"CB4856"	"I"	12103000	11000	12114000
"10"	"CB4856"	"I"	12785000	24000	12809000
"11"	"CB4856"	"I"	13357000	11000	13368000
"12"	"CB4856"	"I"	13376000	10000	13386000
"13"	"CB4856"	"I"	14507000	11000	14518000
"14"	"CB4856"	"II"	1056000	20000	1076000
"15"	"CB4856"	"II"	1527000	58000	1585000
"16"	"CB4856"	"II"	1613000	23000	1636000
"17"	"CB4856"	"II"	1645000	26000	1671000
"18"	"CB4856"	"II"	1749000	187000	1936000
"19"	"CB4856"	"II"	2010000	54000	2064000
"20"	"CB4856"	"II"	2133000	50000	2183000
"21"	"CB4856"	"II"	2233000	99000	2332000
"22"	"CB4856"	"II"	2357000	19000	2376000
"23"	"CB4856"	"II"	2389000	16000	2405000
"24"	"CB4856"	"II"	2470000	9000	2479000
"25"	"CB4856"	"II"	2878000	41000	2919000
"26"	"CB4856"	"II"	3197000	53000	3250000
"27"	"CB4856"	"II"	3331000	39000	3370000
"28"	"CB4856"	"II"	3672000	22000	3694000
"29"	"CB4856"	"II"	3720000	18000	3738000
"30"	"CB4856"	"II"	3745000	15000	3760000
"31"	"CB4856"	"II"	11985000	9000	11994000
"32"	"CB4856"	"II"	12680000	24000	12704000
"33"	"CB4856"	"II"	13740000	10000	13750000
"34"	"CB4856"	"II"	14310000	27000	14337000
"35"	"CB4856"	"III"	0	41000	41000
"36"	"CB4856"	"III"	50000	47000	97000
"37"	"CB4856"	"III"	111000	19000	130000
"38"	"CB4856"	"III"	138000	23000	161000
"39"	"CB4856"	"III"	697000	10000	707000
"40"	"CB4856"	"III"	946000	48000	994000
"41"	"CB4856"	"III"	1082000	15000	1097000
"42"	"CB4856"	"III"	1303000	11000	1314000
"43"	"CB4856"	"III"	1359000	66000	1425000
"44"	"CB4856"	"III"	1757000	10000	1767000
"45"	"CB4856"	"III"	1861000	9000	1870000
"46"	"CB4856"	"III"	2342000	16000	2358000
"47"	"CB4856"	"III"	3071000	17000	3088000
"48"	"CB4856"	"III"	12320000	51000	12371000
"49"	"CB4856"	"III"	12526000	9000	12535000
"50"	"CB4856"	"IV"	1076000	17000	1093000
"51"	"CB4856"	"IV"	2558000	44000	2602000
"52"	"CB4856"	"IV"	2689000	36000	2725000
"53"	"CB4856"	"IV"	3684000	10000	3694000
"54"	"CB4856"	"IV"	3948000	24000	3972000
"55"	"CB4856"	"IV"	6268000	34000	6302000
"56"	"CB4856"	"IV"	7458000	9000	7467000
"57"	"CB4856"	"IV"	16287000	66000	16353000
"58"	"CB4856"	"V"	520000	69000	589000
"59"	"CB4856"	"V"	682000	39000	721000
"60"	"CB4856"	"V"	2259000	17000	2276000
"61"	"CB4856"	"V"	2285000	18000	2303000
"62"	"CB4856"	"V"	2581000	11000	2592000
"63"	"CB4856"	"V"	2697000	10000	2707000
"64"	"CB4856"	"V"	2802000	20000	2822000
"65"	"CB4856"	"V"	3277000	10000	3287000
"66"	"CB4856"	"V"	3331000	115000	3446000
"67"	"CB4856"	"V"	3859000	11000	3870000
"68"	"CB4856"	"V"	3905000	16000	3921000
"69"	"CB4856"	"V"	3939000	20000	3959000
"70"	"CB4856"	"V"	7321000	39000	7360000
"71"	"CB4856"	"V"	7592000	77000	7669000
"72"	"CB4856"	"V"	12433000	17000	12450000
"73"	"CB4856"	"V"	15653000	20000	15673000
"74"	"CB4856"	"V"	15723000	16000	15739000
"75"	"CB4856"	"V"	15756000	9000	15765000
"76"	"CB4856"	"V"	15831000	9000	15840000
"77"	"CB4856"	"V"	15912000	67000	15979000
"78"	"CB4856"	"V"	16175000	67000	16242000
"79"	"CB4856"	"V"	16260000	10000	16270000
"80"	"CB4856"	"V"	16463000	38000	16501000
"81"	"CB4856"	"V"	16595000	12000	16607000
"82"	"CB4856"	"V"	16907000	58000	16965000
"83"	"CB4856"	"V"	17226000	138000	17364000
"84"	"CB4856"	"V"	17436000	57000	17493000
"85"	"CB4856"	"V"	17591000	9000	17600000
"86"	"CB4856"	"V"	17640000	11000	17651000
"87"	"CB4856"	"V"	17801000	33000	17834000
"88"	"CB4856"	"V"	17867000	20000	17887000
"89"	"CB4856"	"V"	18195000	58000	18253000
"90"	"CB4856"	"V"	18676000	21000	18697000
"91"	"CB4856"	"V"	18839000	9000	18848000
"92"	"CB4856"	"V"	19300000	11000	19311000
"93"	"CB4856"	"V"	19375000	139000	19514000
"94"	"CB4856"	"V"	19858000	10000	19868000
"95"	"CB4856"	"V"	19887000	10000	19897000
"96"	"CB4856"	"V"	19904000	10000	19914000
"97"	"CB4856"	"V"	19990000	9000	19999000
"98"	"CB4856"	"V"	20128000	46000	20174000
"99"	"CB4856"	"V"	20187000	15000	20202000
"100"	"CB4856"	"V"	20203000	37000	20240000
"101"	"CB4856"	"V"	20478000	19000	20497000
"102"	"CB4856"	"V"	20541000	75000	20616000
"103"	"CB4856"	"X"	2000	17000	19000
"104"	"CB4856"	"X"	1534000	9000	1543000
"105"	"CB4856"	"X"	12992000	9000	13001000
"106"	"CB4856"	"X"	14215000	10000	14225000
