"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"QX1794"	"I"	1208000	10000	1218000
"2"	"QX1794"	"I"	1349000	18000	1367000
"3"	"QX1794"	"I"	1516000	10000	1526000
"4"	"QX1794"	"I"	1864000	9000	1873000
"5"	"QX1794"	"I"	1901000	11000	1912000
"6"	"QX1794"	"I"	2328000	34000	2362000
"7"	"QX1794"	"I"	2469000	13000	2482000
"8"	"QX1794"	"I"	2799000	10000	2809000
"9"	"QX1794"	"I"	12089000	15000	12104000
"10"	"QX1794"	"I"	12754000	9000	12763000
"11"	"QX1794"	"I"	12797000	9000	12806000
"12"	"QX1794"	"I"	13376000	10000	13386000
"13"	"QX1794"	"I"	14507000	10000	14517000
"14"	"QX1794"	"II"	1256000	54000	1310000
"15"	"QX1794"	"II"	1528000	77000	1605000
"16"	"QX1794"	"II"	1611000	25000	1636000
"17"	"QX1794"	"II"	1765000	170000	1935000
"18"	"QX1794"	"II"	2012000	141000	2153000
"19"	"QX1794"	"II"	2154000	12000	2166000
"20"	"QX1794"	"II"	2224000	173000	2397000
"21"	"QX1794"	"II"	2532000	11000	2543000
"22"	"QX1794"	"II"	2788000	10000	2798000
"23"	"QX1794"	"II"	3063000	24000	3087000
"24"	"QX1794"	"II"	3197000	12000	3209000
"25"	"QX1794"	"II"	3321000	22000	3343000
"26"	"QX1794"	"II"	3672000	22000	3694000
"27"	"QX1794"	"II"	3721000	17000	3738000
"28"	"QX1794"	"II"	3745000	15000	3760000
"29"	"QX1794"	"II"	12028000	10000	12038000
"30"	"QX1794"	"II"	12517000	9000	12526000
"31"	"QX1794"	"II"	13561000	14000	13575000
"32"	"QX1794"	"II"	14319000	15000	14334000
"33"	"QX1794"	"III"	0	41000	41000
"34"	"QX1794"	"III"	49000	29000	78000
"35"	"QX1794"	"III"	111000	19000	130000
"36"	"QX1794"	"III"	138000	23000	161000
"37"	"QX1794"	"III"	697000	11000	708000
"38"	"QX1794"	"III"	947000	9000	956000
"39"	"QX1794"	"III"	964000	54000	1018000
"40"	"QX1794"	"III"	1269000	36000	1305000
"41"	"QX1794"	"III"	1313000	106000	1419000
"42"	"QX1794"	"III"	1827000	13000	1840000
"43"	"QX1794"	"III"	1900000	12000	1912000
"44"	"QX1794"	"III"	3071000	14000	3085000
"45"	"QX1794"	"III"	9932000	13000	9945000
"46"	"QX1794"	"III"	12345000	26000	12371000
"47"	"QX1794"	"III"	12674000	9000	12683000
"48"	"QX1794"	"IV"	1305000	19000	1324000
"49"	"QX1794"	"IV"	1594000	9000	1603000
"50"	"QX1794"	"IV"	2696000	38000	2734000
"51"	"QX1794"	"IV"	2871000	17000	2888000
"52"	"QX1794"	"IV"	3684000	10000	3694000
"53"	"QX1794"	"IV"	4124000	44000	4168000
"54"	"QX1794"	"IV"	6233000	36000	6269000
"55"	"QX1794"	"IV"	7458000	9000	7467000
"56"	"QX1794"	"IV"	15759000	10000	15769000
"57"	"QX1794"	"IV"	16287000	65000	16352000
"58"	"QX1794"	"V"	520000	232000	752000
"59"	"QX1794"	"V"	1048000	15000	1063000
"60"	"QX1794"	"V"	1641000	16000	1657000
"61"	"QX1794"	"V"	1675000	11000	1686000
"62"	"QX1794"	"V"	2046000	20000	2066000
"63"	"QX1794"	"V"	2285000	18000	2303000
"64"	"QX1794"	"V"	2318000	15000	2333000
"65"	"QX1794"	"V"	2697000	9000	2706000
"66"	"QX1794"	"V"	7592000	77000	7669000
"67"	"QX1794"	"V"	14635000	18000	14653000
"68"	"QX1794"	"V"	15653000	21000	15674000
"69"	"QX1794"	"V"	15723000	24000	15747000
"70"	"QX1794"	"V"	15756000	9000	15765000
"71"	"QX1794"	"V"	15909000	76000	15985000
"72"	"QX1794"	"V"	16006000	40000	16046000
"73"	"QX1794"	"V"	16145000	10000	16155000
"74"	"QX1794"	"V"	16463000	38000	16501000
"75"	"QX1794"	"V"	16736000	45000	16781000
"76"	"QX1794"	"V"	16923000	42000	16965000
"77"	"QX1794"	"V"	17172000	14000	17186000
"78"	"QX1794"	"V"	17229000	11000	17240000
"79"	"QX1794"	"V"	17444000	50000	17494000
"80"	"QX1794"	"V"	17591000	9000	17600000
"81"	"QX1794"	"V"	17641000	10000	17651000
"82"	"QX1794"	"V"	17875000	12000	17887000
"83"	"QX1794"	"V"	18195000	58000	18253000
"84"	"QX1794"	"V"	18673000	19000	18692000
"85"	"QX1794"	"V"	18839000	9000	18848000
"86"	"QX1794"	"V"	19298000	10000	19308000
"87"	"QX1794"	"V"	19373000	141000	19514000
"88"	"QX1794"	"V"	19858000	9000	19867000
"89"	"QX1794"	"V"	19904000	10000	19914000
"90"	"QX1794"	"V"	19990000	9000	19999000
"91"	"QX1794"	"V"	20128000	46000	20174000
"92"	"QX1794"	"V"	20187000	15000	20202000
"93"	"QX1794"	"V"	20203000	36000	20239000
"94"	"QX1794"	"V"	20480000	17000	20497000
"95"	"QX1794"	"V"	20541000	85000	20626000
"96"	"QX1794"	"X"	1722000	9000	1731000
