"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"XZ1516"	"I"	11438000	10000	11448000
"2"	"XZ1516"	"I"	12064000	15000	12079000
"3"	"XZ1516"	"I"	12080000	72000	12152000
"4"	"XZ1516"	"I"	12220000	218000	12438000
"5"	"XZ1516"	"I"	12447000	9000	12456000
"6"	"XZ1516"	"I"	12606000	23000	12629000
"7"	"XZ1516"	"I"	12639000	43000	12682000
"8"	"XZ1516"	"I"	12754000	9000	12763000
"9"	"XZ1516"	"I"	13051000	10000	13061000
"10"	"XZ1516"	"I"	13094000	9000	13103000
"11"	"XZ1516"	"I"	13144000	19000	13163000
"12"	"XZ1516"	"I"	13187000	12000	13199000
"13"	"XZ1516"	"I"	13206000	13000	13219000
"14"	"XZ1516"	"II"	272000	27000	299000
"15"	"XZ1516"	"II"	317000	9000	326000
"16"	"XZ1516"	"II"	409000	15000	424000
"17"	"XZ1516"	"II"	430000	9000	439000
"18"	"XZ1516"	"II"	481000	49000	530000
"19"	"XZ1516"	"II"	544000	32000	576000
"20"	"XZ1516"	"II"	902000	37000	939000
"21"	"XZ1516"	"II"	1022000	12000	1034000
"22"	"XZ1516"	"II"	1047000	25000	1072000
"23"	"XZ1516"	"II"	1531000	74000	1605000
"24"	"XZ1516"	"II"	1613000	23000	1636000
"25"	"XZ1516"	"II"	1645000	33000	1678000
"26"	"XZ1516"	"II"	1746000	107000	1853000
"27"	"XZ1516"	"II"	1864000	98000	1962000
"28"	"XZ1516"	"II"	1985000	16000	2001000
"29"	"XZ1516"	"II"	2057000	125000	2182000
"30"	"XZ1516"	"II"	2238000	46000	2284000
"31"	"XZ1516"	"II"	2304000	110000	2414000
"32"	"XZ1516"	"II"	2425000	68000	2493000
"33"	"XZ1516"	"II"	2531000	46000	2577000
"34"	"XZ1516"	"II"	2600000	11000	2611000
"35"	"XZ1516"	"II"	2621000	18000	2639000
"36"	"XZ1516"	"II"	3060000	15000	3075000
"37"	"XZ1516"	"II"	3198000	26000	3224000
"38"	"XZ1516"	"II"	3234000	34000	3268000
"39"	"XZ1516"	"II"	3280000	17000	3297000
"40"	"XZ1516"	"II"	3309000	48000	3357000
"41"	"XZ1516"	"II"	3377000	14000	3391000
"42"	"XZ1516"	"II"	3673000	21000	3694000
"43"	"XZ1516"	"II"	3753000	27000	3780000
"44"	"XZ1516"	"II"	3800000	44000	3844000
"45"	"XZ1516"	"II"	3871000	15000	3886000
"46"	"XZ1516"	"II"	3902000	24000	3926000
"47"	"XZ1516"	"II"	3987000	26000	4013000
"48"	"XZ1516"	"II"	4720000	11000	4731000
"49"	"XZ1516"	"II"	5295000	20000	5315000
"50"	"XZ1516"	"II"	5839000	30000	5869000
"51"	"XZ1516"	"II"	11367000	33000	11400000
"52"	"XZ1516"	"II"	12602000	20000	12622000
"53"	"XZ1516"	"II"	12639000	14000	12653000
"54"	"XZ1516"	"II"	12809000	10000	12819000
"55"	"XZ1516"	"II"	13120000	13000	13133000
"56"	"XZ1516"	"II"	13249000	9000	13258000
"57"	"XZ1516"	"II"	13486000	10000	13496000
"58"	"XZ1516"	"II"	13520000	29000	13549000
"59"	"XZ1516"	"II"	13643000	12000	13655000
"60"	"XZ1516"	"II"	13663000	16000	13679000
"61"	"XZ1516"	"II"	13937000	13000	13950000
"62"	"XZ1516"	"II"	13967000	11000	13978000
"63"	"XZ1516"	"II"	14317000	17000	14334000
"64"	"XZ1516"	"III"	4000	37000	41000
"65"	"XZ1516"	"III"	60000	18000	78000
"66"	"XZ1516"	"III"	86000	11000	97000
"67"	"XZ1516"	"III"	111000	23000	134000
"68"	"XZ1516"	"III"	135000	26000	161000
"69"	"XZ1516"	"III"	180000	9000	189000
"70"	"XZ1516"	"III"	697000	10000	707000
"71"	"XZ1516"	"III"	947000	71000	1018000
"72"	"XZ1516"	"III"	1176000	72000	1248000
"73"	"XZ1516"	"III"	1284000	44000	1328000
"74"	"XZ1516"	"III"	1342000	27000	1369000
