"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"NIC526"	"I"	12629000	13000	12642000
"2"	"NIC526"	"I"	12754000	9000	12763000
"3"	"NIC526"	"II"	2238000	159000	2397000
"4"	"NIC526"	"II"	2567000	9000	2576000
"5"	"NIC526"	"II"	2835000	10000	2845000
"6"	"NIC526"	"II"	3194000	56000	3250000
"7"	"NIC526"	"II"	3309000	56000	3365000
"8"	"NIC526"	"II"	3672000	22000	3694000
"9"	"NIC526"	"II"	3720000	19000	3739000
"10"	"NIC526"	"II"	3745000	15000	3760000
"11"	"NIC526"	"III"	697000	10000	707000
"12"	"NIC526"	"III"	924000	9000	933000
"13"	"NIC526"	"III"	944000	30000	974000
"14"	"NIC526"	"III"	1303000	30000	1333000
"15"	"NIC526"	"III"	2199000	121000	2320000
"16"	"NIC526"	"III"	9932000	13000	9945000
"17"	"NIC526"	"IV"	2593000	10000	2603000
"18"	"NIC526"	"IV"	2696000	9000	2705000
"19"	"NIC526"	"IV"	2718000	12000	2730000
"20"	"NIC526"	"IV"	2869000	19000	2888000
"21"	"NIC526"	"V"	391000	137000	528000
"22"	"NIC526"	"V"	635000	11000	646000
"23"	"NIC526"	"V"	682000	38000	720000
"24"	"NIC526"	"V"	856000	16000	872000
"25"	"NIC526"	"V"	942000	23000	965000
"26"	"NIC526"	"V"	1047000	16000	1063000
"27"	"NIC526"	"V"	18748000	17000	18765000
"28"	"NIC526"	"V"	18826000	22000	18848000
"29"	"NIC526"	"V"	19344000	152000	19496000
"30"	"NIC526"	"V"	20074000	11000	20085000
"31"	"NIC526"	"V"	20128000	46000	20174000
"32"	"NIC526"	"V"	20187000	47000	20234000
"33"	"NIC526"	"X"	14215000	10000	14225000
