"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"MY2147"	"I"	12629000	16000	12645000
"2"	"MY2147"	"I"	12754000	9000	12763000
"3"	"MY2147"	"II"	2234000	29000	2263000
"4"	"MY2147"	"II"	2264000	133000	2397000
"5"	"MY2147"	"II"	2566000	9000	2575000
"6"	"MY2147"	"II"	2835000	10000	2845000
"7"	"MY2147"	"II"	3194000	56000	3250000
"8"	"MY2147"	"II"	3310000	60000	3370000
"9"	"MY2147"	"II"	3672000	22000	3694000
"10"	"MY2147"	"II"	3720000	19000	3739000
"11"	"MY2147"	"II"	3745000	15000	3760000
"12"	"MY2147"	"III"	12296000	26000	12322000
"13"	"MY2147"	"III"	12352000	19000	12371000
"14"	"MY2147"	"IV"	2593000	10000	2603000
"15"	"MY2147"	"IV"	2696000	21000	2717000
"16"	"MY2147"	"IV"	2718000	12000	2730000
"17"	"MY2147"	"IV"	2868000	20000	2888000
"18"	"MY2147"	"IV"	13981000	23000	14004000
"19"	"MY2147"	"V"	520000	73000	593000
"20"	"MY2147"	"V"	682000	38000	720000
"21"	"MY2147"	"V"	17808000	26000	17834000
"22"	"MY2147"	"V"	17859000	28000	17887000
"23"	"MY2147"	"V"	18748000	17000	18765000
"24"	"MY2147"	"V"	18826000	22000	18848000
"25"	"MY2147"	"V"	19344000	136000	19480000
"26"	"MY2147"	"X"	14216000	11000	14227000
