buscoID	query_chr	position	assigned_chr
0at6231	IV	69526123.0	hcontortus_chr4_Celeg_TT_arrow_pilon
4at6231	I	26005107.0	hcontortus_chr1_Celeg_TT_arrow_pilon
6at6231	V	15670959.5	hcontortus_chr5_Celeg_TT_arrow_pilon
7at6231	III	41640522.5	hcontortus_chr3_Celeg_TT_arrow_pilon
9at6231	III	102983567.0	hcontortus_chr3_Celeg_TT_arrow_pilon
18at6231	I	84791529.0	hcontortus_chr1_Celeg_TT_arrow_pilon
19at6231	V	62808923.5	hcontortus_chr5_Celeg_TT_arrow_pilon
21at6231	V	17362163.0	hcontortus_chr5_Celeg_TT_arrow_pilon
22at6231	I	98222087.5	hcontortus_chr1_Celeg_TT_arrow_pilon
23at6231	III	76408498.5	hcontortus_chr3_Celeg_TT_arrow_pilon
25at6231	X	79701762.0	hcontortus_chrX_Celeg_TT_arrow_pilon
28at6231	III	63921036.0	hcontortus_chr3_Celeg_TT_arrow_pilon
29at6231	IV	50259877.5	hcontortus_chr4_Celeg_TT_arrow_pilon
35at6231	V	30207625.5	hcontortus_chr5_Celeg_TT_arrow_pilon
39at6231	II	56333961.0	hcontortus_chr2_Celeg_TT_arrow_pilon
40at6231	I	36412857.0	hcontortus_chr1_Celeg_TT_arrow_pilon
43at6231	I	1840561.0	hcontortus_chr1_Celeg_TT_arrow_pilon
48at6231	I	85546294.0	hcontortus_chr1_Celeg_TT_arrow_pilon
49at6231	X	8419990.5	hcontortus_chrX_Celeg_TT_arrow_pilon
55at6231	III	37056849.5	hcontortus_chr3_Celeg_TT_arrow_pilon
57at6231	I	49662488.0	hcontortus_chr1_Celeg_TT_arrow_pilon
60at6231	IV	106286885.0	hcontortus_chr4_Celeg_TT_arrow_pilon
63at6231	IV	18594293.5	hcontortus_chr4_Celeg_TT_arrow_pilon
65at6231	II	109653334.5	hcontortus_chr2_Celeg_TT_arrow_pilon
67at6231	X	25236281.5	hcontortus_chrX_Celeg_TT_arrow_pilon
68at6231	I	63289028.5	hcontortus_chr1_Celeg_TT_arrow_pilon
72at6231	III	9435185.0	hcontortus_chr3_Celeg_TT_arrow_pilon
74at6231	I	44243159.0	hcontortus_chr1_Celeg_TT_arrow_pilon
76at6231	I	7225445.0	hcontortus_chr1_Celeg_TT_arrow_pilon
86at6231	X	35346173.0	hcontortus_chrX_Celeg_TT_arrow_pilon
90at6231	I	8955242.0	hcontortus_chr1_Celeg_TT_arrow_pilon
91at6231	IV	104553372.5	hcontortus_chr4_Celeg_TT_arrow_pilon
92at6231	III	94712256.5	hcontortus_chr3_Celeg_TT_arrow_pilon
100at6231	II	69416274.5	hcontortus_chr2_Celeg_TT_arrow_pilon
101at6231	X	61935757.5	hcontortus_chr2_Celeg_TT_arrow_pilon
107at6231	II	7278406.0	hcontortus_chr2_Celeg_TT_arrow_pilon
117at6231	I	45083649.5	hcontortus_chr1_Celeg_TT_arrow_pilon
119at6231	III	73653152.0	hcontortus_chr3_Celeg_TT_arrow_pilon
121at6231	I	13586087.5	hcontortus_chr1_Celeg_TT_arrow_pilon
125at6231	V	17565043.5	hcontortus_chr5_Celeg_TT_arrow_pilon
131at6231	II	912681.5	hcontortus_chr2_Celeg_TT_arrow_pilon
132at6231	III	6417663.5	hcontortus_chr3_Celeg_TT_arrow_pilon
137at6231	III	16334168.5	hcontortus_chr3_Celeg_TT_arrow_pilon
144at6231	IV	82887700.5	hcontortus_chr4_Celeg_TT_arrow_pilon
146at6231	II	4027452.0	hcontortus_chr2_Celeg_TT_arrow_pilon
147at6231	X	83579213.5	hcontortus_chrX_Celeg_TT_arrow_pilon
149at6231	II	7952352.5	hcontortus_chr2_Celeg_TT_arrow_pilon
151at6231	III	29627068.0	hcontortus_chr3_Celeg_TT_arrow_pilon
152at6231	II	19522298.5	hcontortus_chr2_Celeg_TT_arrow_pilon
161at6231	II	38717910.5	hcontortus_chr2_Celeg_TT_arrow_pilon
164at6231	X	10822097.0	hcontortus_chrX_Celeg_TT_arrow_pilon
165at6231	IV	113168515.0	hcontortus_chrX_Celeg_TT_arrow_pilon
166at6231	III	12755730.0	hcontortus_chr3_Celeg_TT_arrow_pilon
170at6231	IV	38333735.5	hcontortus_chr4_Celeg_TT_arrow_pilon
172at6231	IV	100433713.5	hcontortus_chr4_Celeg_TT_arrow_pilon
175at6231	I	68178956.5	hcontortus_chr1_Celeg_TT_arrow_pilon
185at6231	III	6738116.0	hcontortus_chr3_Celeg_TT_arrow_pilon
189at6231	X	70492239.5	hcontortus_chrX_Celeg_TT_arrow_pilon
190at6231	II	24422203.0	hcontortus_chr2_Celeg_TT_arrow_pilon
194at6231	IV	72338540.5	hcontortus_chr4_Celeg_TT_arrow_pilon
196at6231	III	15933346.5	hcontortus_chr3_Celeg_TT_arrow_pilon
198at6231	X	61586540.0	hcontortus_chrX_Celeg_TT_arrow_pilon
204at6231	I	76327291.0	hcontortus_chr1_Celeg_TT_arrow_pilon
210at6231	III	70648878.0	hcontortus_chr3_Celeg_TT_arrow_pilon
