gene	dS	sp
Bm3864	0.0303	bmalayi_vs_bpahangi
Bm4884	0.0234	bmalayi_vs_bpahangi
Bm10926	0.0361	bmalayi_vs_bpahangi
Bm14024	0.0314	bmalayi_vs_bpahangi
Bm6204	0.0277	bmalayi_vs_bpahangi
Bm4476c	0.0293	bmalayi_vs_bpahangi
Bm5764	0.0306	bmalayi_vs_bpahangi
Bm11424	0.0214	bmalayi_vs_bpahangi
Bm6377a	0.0269	bmalayi_vs_bpahangi
Bm13717a	0.0181	bmalayi_vs_bpahangi
Bm5254	0.0333	bmalayi_vs_bpahangi
Bm5089a	0.0805	bmalayi_vs_bpahangi
Bm4587	0.0036	bmalayi_vs_bpahangi
Bm3658	0.0384	bmalayi_vs_bpahangi
Bm5141b	0.0381	bmalayi_vs_bpahangi
Bm6730	0.0202	bmalayi_vs_bpahangi
Bm3298a	0.0335	bmalayi_vs_bpahangi
Bm12018	0.025	bmalayi_vs_bpahangi
Bm13725	0.0487	bmalayi_vs_bpahangi
Bm5845	0.0259	bmalayi_vs_bpahangi
Bm6147	0.0268	bmalayi_vs_bpahangi
Bm2556a	0.0263	bmalayi_vs_bpahangi
Bm6710	0.0343	bmalayi_vs_bpahangi
Bm5994	0.0129	bmalayi_vs_bpahangi
Bm5421	0.0287	bmalayi_vs_bpahangi
Bm4046e	0.0237	bmalayi_vs_bpahangi
Bm4674	0.0625	bmalayi_vs_bpahangi
Bm8891	0.0527	bmalayi_vs_bpahangi
Bm4696b	0.0438	bmalayi_vs_bpahangi
Bm6677a	0.033	bmalayi_vs_bpahangi
Bm6449a	0.0266	bmalayi_vs_bpahangi
Bm7835	0.0444	bmalayi_vs_bpahangi
Bm4349	0.0476	bmalayi_vs_bpahangi
Bm2872	0.0131	bmalayi_vs_bpahangi
Bm2712c	0.0183	bmalayi_vs_bpahangi
Bm4816	0.0891	bmalayi_vs_bpahangi
Bm6018	0.02	bmalayi_vs_bpahangi
Bm6325a	0.0344	bmalayi_vs_bpahangi
Bm12592	0.0283	bmalayi_vs_bpahangi
Bm13855	0.0366	bmalayi_vs_bpahangi
