nxHelBake1.g12888.t1	GO:0003677
nxHelBake1.g8824.t1	GO:0006465,GO:0016020,GO:0006627,GO:0008236,GO:0006508,GO:0004252,GO:0042720
nxHelBake1.g8671.t1	
nxHelBake1.g12120.t1	GO:0005681,GO:0000387
nxHelBake1.g18253.t1	
nxHelBake1.g18615.t1	GO:0016020,GO:0016757,GO:0016266,GO:0016263
nxHelBake1.g14701.t1	
nxHelBake1.g4401.t1	GO:0004867
nxHelBake1.g7605.t1	
nxHelBake1.g13948.t1	
nxHelBake1.g6605.t1	
nxHelBake1.g15861.t1	GO:0006511,GO:0031625
nxHelBake1.g15989.t2	GO:0071805,GO:0016020,GO:0005267
nxHelBake1.g2849.t1	
nxHelBake1.g1654.t1	GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g10664.t1	GO:0005885,GO:0030833,GO:0015629,GO:0034314
nxHelBake1.g3249.t1	GO:0008194
nxHelBake1.g8787.t1	
nxHelBake1.g18278.t1	GO:0016705,GO:0005506,GO:0031418
nxHelBake1.g3047.t1	
nxHelBake1.g11234.t1	
nxHelBake1.g18640.t1	
nxHelBake1.g767.t1	
nxHelBake1.g6481.t1	GO:0005515,GO:0003676,GO:0003723
nxHelBake1.g9922.t1	GO:0006355,GO:0003700,GO:0008270,GO:0043565
nxHelBake1.g7051.t1	GO:0042302
nxHelBake1.g7477.t1	GO:0005515
nxHelBake1.g15998.t1	
nxHelBake1.g152.t1	GO:0016021
nxHelBake1.g16822.t1	
nxHelBake1.g9222.t1	
nxHelBake1.g18725.t1	GO:0005515
nxHelBake1.g8826.t1	GO:0016409
nxHelBake1.g8391.t1	
nxHelBake1.g1979.t1	
nxHelBake1.g11418.t1	GO:0016409
nxHelBake1.g18638.t2	GO:0032039,GO:0034474
nxHelBake1.g1205.t1	
nxHelBake1.g14435.t1	
nxHelBake1.g6510.t1	GO:0004864,GO:0009966,GO:0043666
nxHelBake1.g1595.t1	
nxHelBake1.g16249.t1	GO:0030246
nxHelBake1.g12298.t1	
nxHelBake1.g16045.t1	
nxHelBake1.g409.t1	
nxHelBake1.g13091.t2	
nxHelBake1.g17184.t1	GO:0055085,GO:0022857,GO:0016021
nxHelBake1.g1511.t1	
nxHelBake1.g10183.t1	
nxHelBake1.g11810.t1	
nxHelBake1.g4317.t1	GO:0004930,GO:0007186,GO:0016021
nxHelBake1.g12536.t1	
nxHelBake1.g15005.t1	
nxHelBake1.g16027.t1	
nxHelBake1.g3294.t1	GO:0006334,GO:0016573,GO:0006333,GO:0005634,GO:0042393,GO:0006337
nxHelBake1.g9102.t1	
nxHelBake1.g4386.t2	
nxHelBake1.g5943.t1	GO:0005515
nxHelBake1.g10602.t1	
nxHelBake1.g392.t1	GO:0003723,GO:0003676
nxHelBake1.g14669.t1	GO:0015886,GO:0015232
nxHelBake1.g11599.t1	GO:0003677,GO:0006355,GO:0003700
nxHelBake1.g15233.t1	GO:0003779,GO:0007010
nxHelBake1.g10557.t1	GO:0003723,GO:0003676
nxHelBake1.g2712.t1	GO:0003676,GO:0008270
nxHelBake1.g18445.t1	GO:0006357,GO:0006355,GO:0003700,GO:0043565
nxHelBake1.g2265.t1	GO:0016705,GO:0005506,GO:0004497,GO:0020037
nxHelBake1.g19021.t1	
nxHelBake1.g1232.t1	GO:0000398,GO:0005681,GO:0000387
nxHelBake1.g15137.t1	
nxHelBake1.g14055.t1	
nxHelBake1.g14459.t1	
nxHelBake1.g4850.t1	GO:0005515
nxHelBake1.g14060.t1	
nxHelBake1.g12264.t1	
nxHelBake1.g647.t1	
nxHelBake1.g15291.t2	
nxHelBake1.g13558.t1	
nxHelBake1.g7963.t1	GO:0005975,GO:0004553
nxHelBake1.g6900.t1	GO:0004672,GO:0006468,GO:0005524,GO:0004697,GO:0004674
nxHelBake1.g4684.t1	
nxHelBake1.g15700.t1	GO:0005515
nxHelBake1.g5471.t5	GO:0003723,GO:0003676
nxHelBake1.g1172.t2	
nxHelBake1.g4074.t1	GO:0042302
nxHelBake1.g15739.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g175.t2	GO:0008168
nxHelBake1.g1281.t1	GO:0018996,GO:0008270,GO:0006508,GO:0004222,GO:0008237
nxHelBake1.g18476.t1	
nxHelBake1.g18581.t1	
nxHelBake1.g5171.t2	
nxHelBake1.g3385.t1	GO:0042302
nxHelBake1.g16171.t1	GO:0005524,GO:0004707,GO:0004672,GO:0006468
nxHelBake1.g7007.t1	
nxHelBake1.g15954.t1	GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g3130.t1	GO:0055085
nxHelBake1.g18468.t1	
nxHelBake1.g3211.t1	GO:0007606,GO:0016021
nxHelBake1.g16674.t1	GO:0003677,GO:0006351,GO:0003899
nxHelBake1.g17742.t3	GO:0005515
nxHelBake1.g2814.t2	GO:0055085,GO:0022857,GO:0016021
nxHelBake1.g18268.t2	
nxHelBake1.g11682.t1	
nxHelBake1.g7025.t1	
nxHelBake1.g1171.t1	
nxHelBake1.g18317.t1	
nxHelBake1.g7038.t1	
nxHelBake1.g6014.t1	GO:0005515,GO:0034464,GO:1905515
nxHelBake1.g17714.t1	GO:0006261,GO:0003677,GO:0005524,GO:0003887,GO:0006260,GO:0003676
nxHelBake1.g6422.t1	
nxHelBake1.g7813.t2	
nxHelBake1.g18453.t1	GO:0003723,GO:0006396,GO:0004000
nxHelBake1.g11155.t1	
nxHelBake1.g15646.t1	
nxHelBake1.g15318.t1	
nxHelBake1.g7331.t1	
nxHelBake1.g5689.t1	
nxHelBake1.g9137.t1	
nxHelBake1.g1034.t1	
nxHelBake1.g4384.t1	GO:0004674,GO:0005524,GO:0004672,GO:0006468
nxHelBake1.g6401.t1	GO:0046872,GO:0003676,GO:0016787
nxHelBake1.g13833.t1	GO:0006537,GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit,GO:0016638,GO:0015930,GO:0050660,GO:0016040,GO:0016491,GO:0016639,GOGAT,GO:0051536,GO:0006807,GO:0003824,GO:0010181,GO:0005506
nxHelBake1.g7876.t1	GO:0004713,GO:0004672,GO:0006468
nxHelBake1.g12819.t1	
nxHelBake1.g5186.t1	
nxHelBake1.g6344.t1	GO:0003723,GO:0008033,GO:0004809
nxHelBake1.g7432.t1	GO:0030368
nxHelBake1.g15008.t1	
nxHelBake1.g12418.t1	GO:0003723,GO:0003676
nxHelBake1.g10005.t2	
nxHelBake1.g17211.t1	
nxHelBake1.g102.t1	
nxHelBake1.g13311.t1	
nxHelBake1.g19.t1	
nxHelBake1.g3289.t1	GO:0047617,GO:0006637
nxHelBake1.g8291.t1	GO:0006629,GO:0016491
nxHelBake1.g8131.t1	
nxHelBake1.g9630.t1	
nxHelBake1.g11126.t1	
nxHelBake1.g13425.t1	
nxHelBake1.g11990.t4	
nxHelBake1.g1949.t1	
nxHelBake1.g6911.t1	GO:0006144,GO:0033971
nxHelBake1.g13262.t1	GO:0016787
nxHelBake1.g18002.t2	GO:0016829,GO:0006106,GO:0003824,GO:0004333,GO:0045239,GO:0006099
nxHelBake1.g14747.t1	
nxHelBake1.g14712.t1	GO:0016298,GO:0019915,GO:0005811
nxHelBake1.g3557.t1	
nxHelBake1.g14073.t1	GO:0003676
nxHelBake1.g15531.t1	GO:0005085
nxHelBake1.g3008.t1	
nxHelBake1.g4470.t1	
