"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"DL238"	"I"	1206000	12000	1218000
"2"	"DL238"	"I"	1352000	15000	1367000
"3"	"DL238"	"I"	1951000	16000	1967000
"4"	"DL238"	"I"	2328000	34000	2362000
"5"	"DL238"	"I"	12628000	17000	12645000
"6"	"DL238"	"I"	12797000	9000	12806000
"7"	"DL238"	"I"	13376000	10000	13386000
"8"	"DL238"	"I"	14507000	10000	14517000
"9"	"DL238"	"II"	884000	25000	909000
"10"	"DL238"	"II"	1001000	22000	1023000
"11"	"DL238"	"II"	1056000	17000	1073000
"12"	"DL238"	"II"	1613000	23000	1636000
"13"	"DL238"	"II"	1746000	13000	1759000
"14"	"DL238"	"II"	1766000	15000	1781000
"15"	"DL238"	"II"	1782000	154000	1936000
"16"	"DL238"	"II"	2012000	39000	2051000
"17"	"DL238"	"II"	2107000	22000	2129000
"18"	"DL238"	"II"	2154000	30000	2184000
"19"	"DL238"	"II"	2225000	101000	2326000
"20"	"DL238"	"II"	2396000	27000	2423000
"21"	"DL238"	"II"	2835000	9000	2844000
"22"	"DL238"	"II"	3063000	16000	3079000
"23"	"DL238"	"II"	3198000	52000	3250000
"24"	"DL238"	"II"	3326000	44000	3370000
"25"	"DL238"	"II"	3660000	79000	3739000
"26"	"DL238"	"II"	3745000	15000	3760000
"27"	"DL238"	"II"	12398000	9000	12407000
"28"	"DL238"	"II"	13248000	16000	13264000
"29"	"DL238"	"III"	697000	10000	707000
"30"	"DL238"	"III"	947000	26000	973000
"31"	"DL238"	"III"	982000	115000	1097000
"32"	"DL238"	"III"	1267000	26000	1293000
"33"	"DL238"	"III"	1303000	31000	1334000
"34"	"DL238"	"III"	1359000	61000	1420000
"35"	"DL238"	"III"	2388000	17000	2405000
"36"	"DL238"	"III"	11093000	50000	11143000
"37"	"DL238"	"III"	12064000	10000	12074000
"38"	"DL238"	"III"	12345000	26000	12371000
"39"	"DL238"	"III"	12673000	10000	12683000
"40"	"DL238"	"IV"	1075000	14000	1089000
"41"	"DL238"	"IV"	2184000	22000	2206000
"42"	"DL238"	"IV"	2593000	9000	2602000
"43"	"DL238"	"IV"	2689000	36000	2725000
"44"	"DL238"	"IV"	2863000	18000	2881000
"45"	"DL238"	"IV"	3947000	15000	3962000
"46"	"DL238"	"IV"	6218000	51000	6269000
"47"	"DL238"	"IV"	7458000	9000	7467000
"48"	"DL238"	"IV"	15448000	10000	15458000
"49"	"DL238"	"IV"	16287000	66000	16353000
"50"	"DL238"	"V"	391000	130000	521000
"51"	"DL238"	"V"	575000	177000	752000
"52"	"DL238"	"V"	1048000	15000	1063000
"53"	"DL238"	"V"	1641000	16000	1657000
"54"	"DL238"	"V"	2259000	17000	2276000
"55"	"DL238"	"V"	2285000	18000	2303000
"56"	"DL238"	"V"	2580000	12000	2592000
"57"	"DL238"	"V"	2693000	13000	2706000
"58"	"DL238"	"V"	2802000	20000	2822000
"59"	"DL238"	"V"	3049000	19000	3068000
"60"	"DL238"	"V"	3874000	11000	3885000
"61"	"DL238"	"V"	3905000	13000	3918000
"62"	"DL238"	"V"	3926000	36000	3962000
"63"	"DL238"	"V"	3992000	15000	4007000
"64"	"DL238"	"V"	4112000	53000	4165000
"65"	"DL238"	"V"	7254000	62000	7316000
"66"	"DL238"	"V"	7592000	77000	7669000
"67"	"DL238"	"V"	8961000	12000	8973000
"68"	"DL238"	"V"	15278000	43000	15321000
"69"	"DL238"	"V"	15660000	13000	15673000
"70"	"DL238"	"V"	15723000	16000	15739000
"71"	"DL238"	"V"	15755000	10000	15765000
"72"	"DL238"	"V"	15831000	9000	15840000
"73"	"DL238"	"V"	15912000	95000	16007000
"74"	"DL238"	"V"	16175000	67000	16242000
"75"	"DL238"	"V"	16463000	38000	16501000
"76"	"DL238"	"V"	16614000	9000	16623000
"77"	"DL238"	"V"	16923000	41000	16964000
"78"	"DL238"	"V"	17047000	50000	17097000
"79"	"DL238"	"V"	17098000	16000	17114000
"80"	"DL238"	"V"	17133000	103000	17236000
"81"	"DL238"	"V"	17445000	52000	17497000
"82"	"DL238"	"V"	17629000	22000	17651000
"83"	"DL238"	"V"	17875000	12000	17887000
"84"	"DL238"	"V"	18159000	26000	18185000
"85"	"DL238"	"V"	18226000	33000	18259000
"86"	"DL238"	"V"	18753000	12000	18765000
"87"	"DL238"	"V"	19084000	16000	19100000
"88"	"DL238"	"V"	19270000	12000	19282000
"89"	"DL238"	"V"	19344000	16000	19360000
"90"	"DL238"	"V"	19373000	115000	19488000
"91"	"DL238"	"V"	19716000	10000	19726000
"92"	"DL238"	"V"	19858000	10000	19868000
"93"	"DL238"	"V"	19904000	43000	19947000
"94"	"DL238"	"V"	20067000	14000	20081000
"95"	"DL238"	"V"	20154000	13000	20167000
"96"	"DL238"	"V"	20173000	20000	20193000
"97"	"DL238"	"V"	20201000	39000	20240000
"98"	"DL238"	"X"	256000	32000	288000
