"STRAIN"	"CHROM"	"cluster_start"	"cluster_size"	"cluster_end"
"1"	"ECA36"	"I"	1169000	9000	1178000
"2"	"ECA36"	"I"	1900000	16000	1916000
"3"	"ECA36"	"I"	2328000	33000	2361000
"4"	"ECA36"	"I"	12103000	11000	12114000
"5"	"ECA36"	"I"	12447000	15000	12462000
"6"	"ECA36"	"I"	12689000	9000	12698000
"7"	"ECA36"	"I"	13053000	32000	13085000
"8"	"ECA36"	"I"	13097000	64000	13161000
"9"	"ECA36"	"I"	13808000	12000	13820000
"10"	"ECA36"	"I"	14414000	11000	14425000
"11"	"ECA36"	"I"	14535000	19000	14554000
"12"	"ECA36"	"II"	905000	12000	917000
"13"	"ECA36"	"II"	958000	19000	977000
"14"	"ECA36"	"II"	1037000	9000	1046000
"15"	"ECA36"	"II"	1531000	77000	1608000
"16"	"ECA36"	"II"	1621000	15000	1636000
"17"	"ECA36"	"II"	1645000	26000	1671000
"18"	"ECA36"	"II"	1703000	14000	1717000
"19"	"ECA36"	"II"	1736000	23000	1759000
"20"	"ECA36"	"II"	1766000	13000	1779000
"21"	"ECA36"	"II"	1840000	123000	1963000
"22"	"ECA36"	"II"	1987000	14000	2001000
"23"	"ECA36"	"II"	2017000	12000	2029000
"24"	"ECA36"	"II"	2072000	71000	2143000
"25"	"ECA36"	"II"	2155000	12000	2167000
"26"	"ECA36"	"II"	2238000	89000	2327000
"27"	"ECA36"	"II"	2357000	19000	2376000
"28"	"ECA36"	"II"	2643000	9000	2652000
"29"	"ECA36"	"II"	3340000	42000	3382000
"30"	"ECA36"	"II"	3383000	10000	3393000
"31"	"ECA36"	"II"	4433000	11000	4444000
"32"	"ECA36"	"II"	4720000	11000	4731000
"33"	"ECA36"	"II"	10429000	36000	10465000
"34"	"ECA36"	"II"	10661000	13000	10674000
"35"	"ECA36"	"II"	12061000	9000	12070000
"36"	"ECA36"	"II"	12517000	12000	12529000
"37"	"ECA36"	"II"	12548000	51000	12599000
"38"	"ECA36"	"II"	13211000	12000	13223000
"39"	"ECA36"	"II"	13248000	11000	13259000
"40"	"ECA36"	"II"	13565000	10000	13575000
"41"	"ECA36"	"II"	13612000	15000	13627000
"42"	"ECA36"	"II"	14317000	20000	14337000
"43"	"ECA36"	"III"	0	41000	41000
"44"	"ECA36"	"III"	57000	21000	78000
"45"	"ECA36"	"III"	93000	14000	107000
"46"	"ECA36"	"III"	114000	16000	130000
"47"	"ECA36"	"III"	138000	23000	161000
"48"	"ECA36"	"III"	951000	52000	1003000
"49"	"ECA36"	"III"	1271000	22000	1293000
"50"	"ECA36"	"III"	1313000	12000	1325000
"51"	"ECA36"	"III"	1382000	24000	1406000
"52"	"ECA36"	"III"	1588000	9000	1597000
"53"	"ECA36"	"III"	2199000	122000	2321000
"54"	"ECA36"	"III"	2396000	15000	2411000
"55"	"ECA36"	"III"	2434000	11000	2445000
"56"	"ECA36"	"III"	9932000	36000	9968000
"57"	"ECA36"	"III"	11096000	47000	11143000
"58"	"ECA36"	"III"	12336000	35000	12371000
"59"	"ECA36"	"IV"	17000	14000	31000
"60"	"ECA36"	"IV"	1248000	13000	1261000
"61"	"ECA36"	"IV"	2592000	10000	2602000
"62"	"ECA36"	"IV"	2698000	15000	2713000
"63"	"ECA36"	"IV"	2809000	14000	2823000
"64"	"ECA36"	"IV"	3823000	10000	3833000
"65"	"ECA36"	"IV"	3893000	46000	3939000
