buscoID	query_chr	position	assigned_chr
0at6231	IV	67561006.5	hcontortus_chr4_Celeg_TT_arrow_pilon
4at6231	I	25357296.5	hcontortus_chr1_Celeg_TT_arrow_pilon
6at6231	V	14714237.5	hcontortus_chr5_Celeg_TT_arrow_pilon
7at6231	III	40141604.0	hcontortus_chr3_Celeg_TT_arrow_pilon
9at6231	III	100281859.5	hcontortus_chr3_Celeg_TT_arrow_pilon
18at6231	I	82474723.5	hcontortus_chr1_Celeg_TT_arrow_pilon
19at6231	V	60625649.5	hcontortus_chr5_Celeg_TT_arrow_pilon
21at6231	V	16280756.0	hcontortus_chr5_Celeg_TT_arrow_pilon
22at6231	I	95884220.5	hcontortus_chr1_Celeg_TT_arrow_pilon
23at6231	III	73836818.5	hcontortus_chr3_Celeg_TT_arrow_pilon
25at6231	X	84605329.5	hcontortus_chrX_Celeg_TT_arrow_pilon
28at6231	III	61919424.0	hcontortus_chr3_Celeg_TT_arrow_pilon
29at6231	IV	48838292.0	hcontortus_chr4_Celeg_TT_arrow_pilon
32at6231	X	65312757.5	hcontortus_chrX_Celeg_TT_arrow_pilon
35at6231	V	28425437.0	hcontortus_chr5_Celeg_TT_arrow_pilon
39at6231	II	56418697.5	hcontortus_chr2_Celeg_TT_arrow_pilon
40at6231	I	35796708.5	hcontortus_chr1_Celeg_TT_arrow_pilon
43at6231	I	1726400.5	hcontortus_chr1_Celeg_TT_arrow_pilon
48at6231	I	83172216.0	hcontortus_chr1_Celeg_TT_arrow_pilon
49at6231	X	11007517.5	hcontortus_chrX_Celeg_TT_arrow_pilon
55at6231	III	35582617.5	hcontortus_chr3_Celeg_TT_arrow_pilon
57at6231	I	48864732.5	hcontortus_chr1_Celeg_TT_arrow_pilon
60at6231	IV	103354917.5	hcontortus_chr4_Celeg_TT_arrow_pilon
63at6231	IV	18304241.0	hcontortus_chr4_Celeg_TT_arrow_pilon
65at6231	II	109017175.0	hcontortus_chr2_Celeg_TT_arrow_pilon
67at6231	X	29918059.5	hcontortus_chrX_Celeg_TT_arrow_pilon
68at6231	I	61700787.5	hcontortus_chr1_Celeg_TT_arrow_pilon
72at6231	III	9289348.0	hcontortus_chr3_Celeg_TT_arrow_pilon
74at6231	I	43778053.5	hcontortus_chr1_Celeg_TT_arrow_pilon
76at6231	I	7067594.5	hcontortus_chr1_Celeg_TT_arrow_pilon
86at6231	X	39123800.0	hcontortus_chrX_Celeg_TT_arrow_pilon
90at6231	I	8653569.0	hcontortus_chr1_Celeg_TT_arrow_pilon
91at6231	IV	100943978.5	hcontortus_chr4_Celeg_TT_arrow_pilon
92at6231	III	92272479.0	hcontortus_chr3_Celeg_TT_arrow_pilon
100at6231	II	68830960.5	hcontortus_chr2_Celeg_TT_arrow_pilon
101at6231	X	66149926.0	hcontortus_chr2_Celeg_TT_arrow_pilon
107at6231	II	6911777.0	hcontortus_chr2_Celeg_TT_arrow_pilon
117at6231	I	44569395.0	hcontortus_chr1_Celeg_TT_arrow_pilon
119at6231	III	71129934.0	hcontortus_chr3_Celeg_TT_arrow_pilon
121at6231	I	13043888.5	hcontortus_chr1_Celeg_TT_arrow_pilon
125at6231	V	16461170.0	hcontortus_chr5_Celeg_TT_arrow_pilon
127at6231	X	77941112.0	hcontortus_chrX_Celeg_TT_arrow_pilon
131at6231	II	950736.5	hcontortus_chr2_Celeg_TT_arrow_pilon
132at6231	III	6604553.5	hcontortus_chr3_Celeg_TT_arrow_pilon
137at6231	III	16034903.0	hcontortus_chr3_Celeg_TT_arrow_pilon
139at6231	X	8253194.0	hcontortus_chrX_Celeg_TT_arrow_pilon
144at6231	IV	80256432.0	hcontortus_chr4_Celeg_TT_arrow_pilon
146at6231	II	3709558.0	hcontortus_chr2_Celeg_TT_arrow_pilon
147at6231	X	88443597.5	hcontortus_chrX_Celeg_TT_arrow_pilon
149at6231	II	7544688.0	hcontortus_chr2_Celeg_TT_arrow_pilon
151at6231	III	28684974.0	hcontortus_chr3_Celeg_TT_arrow_pilon
152at6231	II	19000808.0	hcontortus_chr2_Celeg_TT_arrow_pilon
161at6231	II	38068927.5	hcontortus_chr2_Celeg_TT_arrow_pilon
164at6231	X	13541056.5	hcontortus_chrX_Celeg_TT_arrow_pilon
165at6231	IV	109723620.0	hcontortus_chrX_Celeg_TT_arrow_pilon
166at6231	III	12966335.5	hcontortus_chr3_Celeg_TT_arrow_pilon
170at6231	IV	37290464.0	hcontortus_chr4_Celeg_TT_arrow_pilon
172at6231	IV	96972554.5	hcontortus_chr4_Celeg_TT_arrow_pilon
175at6231	I	66380371.0	hcontortus_chr1_Celeg_TT_arrow_pilon
185at6231	III	6901529.0	hcontortus_chr3_Celeg_TT_arrow_pilon
189at6231	X	75191325.5	hcontortus_chrX_Celeg_TT_arrow_pilon
190at6231	II	24110381.0	hcontortus_chr2_Celeg_TT_arrow_pilon
194at6231	IV	70142443.0	hcontortus_chr4_Celeg_TT_arrow_pilon
196at6231	III	15717310.5	hcontortus_chr3_Celeg_TT_arrow_pilon
198at6231	X	65790357.0	hcontortus_chrX_Celeg_TT_arrow_pilon
204at6231	I	74380346.5	hcontortus_chr1_Celeg_TT_arrow_pilon
210at6231	III	68207651.5	hcontortus_chr3_Celeg_TT_arrow_pilon
211at6231	III	95255563.5	hcontortus_chr3_Celeg_TT_arrow_pilon
216at6231	I	2444180.5	hcontortus_chr1_Celeg_TT_arrow_pilon
217at6231	V	45101972.5	hcontortus_chr5_Celeg_TT_arrow_pilon
219at6231	II	1193190.5	hcontortus_chr2_Celeg_TT_arrow_pilon
223at6231	III	32745622.0	hcontortus_chr3_Celeg_TT_arrow_pilon
225at6231	II	99993732.0	hcontortus_chr2_Celeg_TT_arrow_pilon
229at6231	I	5742996.0	hcontortus_chr1_Celeg_TT_arrow_pilon
232at6231	X	75832238.5	hcontortus_chrX_Celeg_TT_arrow_pilon
233at6231	IV	70219459.5	hcontortus_chr4_Celeg_TT_arrow_pilon
238at6231	I	70599621.0	hcontortus_chr1_Celeg_TT_arrow_pilon
241at6231	I	18837532.0	hcontortus_chr1_Celeg_TT_arrow_pilon
243at6231	IV	15029257.0	hcontortus_chr4_Celeg_TT_arrow_pilon
252at6231	X	25968996.5	hcontortus_chrX_Celeg_TT_arrow_pilon
255at6231	III	53360763.5	hcontortus_chr3_Celeg_TT_arrow_pilon
256at6231	II	28027545.0	hcontortus_chr2_Celeg_TT_arrow_pilon
257at6231	V	93892278.5	hcontortus_chr5_Celeg_TT_arrow_pilon
265at6231	III	24310517.0	hcontortus_chr3_Celeg_TT_arrow_pilon
267at6231	III	662970.0	hcontortus_chr3_Celeg_TT_arrow_pilon
271at6231	I	83631107.0	hcontortus_chr1_Celeg_TT_arrow_pilon
277at6231	V	37366167.0	hcontortus_chr5_Celeg_TT_arrow_pilon
286at6231	V	39146665.0	hcontortus_chr5_Celeg_TT_arrow_pilon
288at6231	I	11296486.0	hcontortus_chr1_Celeg_TT_arrow_pilon
293at6231	III	47151388.5	hcontortus_chr3_Celeg_TT_arrow_pilon
299at6231	III	17006813.5	hcontortus_chr3_Celeg_TT_arrow_pilon
300at6231	III	52668807.0	hcontortus_chr3_Celeg_TT_arrow_pilon
302at6231	II	65152896.0	hcontortus_chr2_Celeg_TT_arrow_pilon
318at6231	I	92576487.0	hcontortus_chr1_Celeg_TT_arrow_pilon
319at6231	II	23736401.5	hcontortus_chr2_Celeg_TT_arrow_pilon
322at6231	X	93745120.5	hcontortus_chr3_Celeg_TT_arrow_pilon
323at6231	IV	33961124.0	hcontortus_chr4_Celeg_TT_arrow_pilon
327at6231	I	43583645.5	hcontortus_chr1_Celeg_TT_arrow_pilon
333at6231	I	90342681.5	hcontortus_chr1_Celeg_TT_arrow_pilon
344at6231	IV	79228204.5	hcontortus_chr4_Celeg_TT_arrow_pilon
345at6231	III	67399449.5	hcontortus_chr3_Celeg_TT_arrow_pilon
348at6231	IV	61919001.0	hcontortus_chr4_Celeg_TT_arrow_pilon
350at6231	IV	65284858.5	hcontortus_chr4_Celeg_TT_arrow_pilon
364at6231	IV	106593258.5	hcontortus_chr4_Celeg_TT_arrow_pilon
366at6231	I	11436355.0	hcontortus_chr1_Celeg_TT_arrow_pilon
369at6231	IV	109087386.5	hcontortus_chr4_Celeg_TT_arrow_pilon
373at6231	III	44384484.5	hcontortus_chr3_Celeg_TT_arrow_pilon
375at6231	X	74130276.0	hcontortus_chrX_Celeg_TT_arrow_pilon
378at6231	X	74759374.5	hcontortus_chrX_Celeg_TT_arrow_pilon
382at6231	II	19467795.0	hcontortus_chr2_Celeg_TT_arrow_pilon
384at6231	II	40157363.5	hcontortus_chr2_Celeg_TT_arrow_pilon
390at6231	II	73568073.5	hcontortus_chr2_Celeg_TT_arrow_pilon
394at6231	X	85002526.5	hcontortus_chrX_Celeg_TT_arrow_pilon
401at6231	V	34861742.5	hcontortus_chr5_Celeg_TT_arrow_pilon
405at6231	II	88597899.0	hcontortus_chr2_Celeg_TT_arrow_pilon
411at6231	I	96283590.0	hcontortus_chr1_Celeg_TT_arrow_pilon
416at6231	V	44714918.5	hcontortus_chr5_Celeg_TT_arrow_pilon
420at6231	V	69523099.0	hcontortus_chr5_Celeg_TT_arrow_pilon
423at6231	III	92108895.0	hcontortus_chr3_Celeg_TT_arrow_pilon
425at6231	IV	105092389.5	hcontortus_chr4_Celeg_TT_arrow_pilon
